"town","median2018","median2017","median2013","median2008","change1yr","change5yr","change10yr","marketdays2018","marketdays2017","marketdays1yrchange"
Abington,"395,000","374,950","302,400","308,000",5%,31%,28%,41,43,-5%
Acton,"650,000","617,500","521,000","554,053",5%,25%,17%,43,44,-2%
Amesbury,"390,950","365,250","312,000","269,000",7%,25%,45%,52,51,2%
Andover,"663,000","639,900","548,000","529,900",4%,21%,25%,51,54,-6%
Arlington,"805,000","750,000","565,000","475,000",7%,42%,69%,21,23,-9%
Ashby,"282,000","275,000","216,000","240,000",3%,31%,18%,62,93,-33%
Ashland,"465,000","440,000","359,000","420,600",6%,30%,11%,32,40,-20%
Attleboro,"332,500","312,000","250,000","268,000",7%,33%,24%,51,49,4%
Avon,"349,500","325,500","265,000","277,000",7%,32%,26%,45,64,-30%
Ayer,"360,000","344,900","320,000","312,500",4%,13%,15%,50,38,32%
Bedford,"729,000","711,000","607,000","541,000",3%,20%,35%,49,48,2%
Bellingham,"337,000","320,000","264,250","260,000",5%,28%,30%,42,58,-28%
Belmont,"1,160,000","1,039,000","806,000","693,725",12%,44%,67%,22,41,-46%
Beverly,"468,200","463,075","360,000","348,900",1%,30%,34%,45,53,-15%
Billerica,"450,000","430,000","335,000","315,000",5%,34%,43%,40,37,8%
Boston,"615,000","580,000","418,000","349,000",6%,47%,76%,38,43,-12%
Boxborough,"675,000","622,500","488,500","625,000",8%,38%,8%,60,63,-5%
Boxford,"687,500","636,500","550,000","549,900",8%,25%,25%,107,93,15%
Braintree,"498,000","473,000","355,000","342,500",5%,40%,45%,37,37,0%
Bridgewater,"390,000","375,500","315,000","319,250",4%,24%,22%,51,51,0%
Brockton,"295,000","271,000","179,900","184,850",9%,64%,60%,44,44,0%
Brookline,"1,777,500","1,912,500","1,350,000","1,030,000",-7%,32%,73%,57,67,-15%
Burlington,"583,000","555,000","420,000","367,500",5%,39%,59%,42,60,-30%
Cambridge,"1,400,000","1,455,000","903,000","755,000",-4%,55%,85%,27,32,-16%
Canton,"565,000","550,000","465,000","452,250",3%,22%,25%,47,66,-29%
Carlisle,"875,000","858,000","690,000","777,500",2%,27%,13%,85,76,12%
Carver,"345,000","315,000","252,000","275,000",10%,37%,25%,54,63,-14%
Chelmsford,"447,500","423,500","343,350","325,750",6%,30%,37%,38,47,-19%
Chelsea,"450,500","371,000","237,000","195,000",21%,90%,131%,38,27,41%
Cohasset,"992,500","945,000","957,750","725,000",5%,4%,37%,95,129,-26%
Concord,"1,041,000","1,039,000","881,000","712,500",0%,18%,46%,82,70,17%
Danvers,"467,000","449,000","359,000","359,000",4%,30%,30%,33,43,-23%
Dedham,"517,000","486,000","389,900","360,000",6%,33%,44%,38,43,-12%
Dover,"1,221,000","1,147,500","883,000","1,005,000",6%,38%,21%,129,169,-24%
Dracut,"360,000","345,000","265,000","270,000",4%,36%,33%,42,49,-14%
Dunstable,"572,450","520,000","405,000","443,000",10%,41%,29%,76,90,-16%
Duxbury,"680,000","671,000","550,000","643,000",1%,24%,6%,72,88,-18%
EastBridgewater,"372,500","347,500","289,450","290,451",7%,29%,28%,55,52,6%
Easton,"447,000","447,000","388,000","356,500",0%,15%,25%,61,66,-8%
Essex,"551,000","645,000","467,500","390,000",-15%,18%,41%,83,80,4%
Everett,"445,000","409,950","265,000","250,000",9%,68%,78%,38,36,6%
Foxborough,"450,000","430,000","358,000","353,000",5%,26%,27%,57,52,10%
Framingham,"452,000","425,000","338,250","329,000",6%,34%,37%,28,32,-13%
Franklin,"464,950","445,000","355,000","397,500",4%,31%,17%,47,62,-24%
Georgetown,"459,000","435,148","386,250","362,500",5%,19%,27%,45,57,-21%
Gloucester,"449,500","457,000","343,000","350,000",-2%,31%,28%,66,83,-20%
Groton,"530,000","482,500","405,000","422,300",10%,31%,26%,147,86,71%
Groveland,"430,000","430,000","329,000","327,000",0%,31%,31%,56,61,-8%
Halifax,"349,900","329,900","270,000","265,000",6%,30%,32%,43,49,-12%
Hamilton,"602,450","549,900","475,250","471,000",10%,27%,28%,72,86,-16%
Hanover,"555,000","500,000","388,000","395,000",11%,43%,41%,67,75,-11%
Hanson,"372,000","355,000","297,000","295,000",5%,25%,26%,48,51,-6%
Harvard,"627,500","637,500","502,500","584,573",-2%,25%,7%,110,114,-4%
Haverhill,"338,000","320,000","261,000","269,900",6%,30%,25%,43,44,-2%
Hingham,"820,000","799,000","650,000","630,000",3%,26%,30%,69,69,0%
Holbrook,"339,900","315,500","243,250","241,250",8%,40%,41%,38,40,-5%
Holliston,"485,000","465,750","401,000","350,000",4%,21%,39%,46,69,-33%
Hopkinton,"675,000","649,000","556,510","569,500",4%,21%,19%,77,62,24%
Hudson,"378,000","359,900","280,000","285,000",5%,35%,33%,42,38,11%
Hull,"415,000","420,500","329,000","345,000",-1%,26%,20%,62,66,-6%
Ipswich,"540,250","551,250","493,500","415,000",-2%,9%,30%,67,79,-15%
Kingston,"430,000","460,500","351,250","352,250",-7%,22%,22%,70,90,-22%
Lakeville,"373,000","355,000","271,250","324,500",5%,38%,15%,54,67,-19%
Lawrence,"280,000","255,450","180,000","165,000",10%,56%,70%,40,45,-11%
Lexington,"1,150,000","1,150,000","870,000","749,950",0%,32%,53%,37,56,-34%
Lincoln,"1,250,000","1,072,500","1,117,000","983,750",17%,12%,27%,98,128,-23%
Littleton,"570,250","488,000","424,946","400,000",17%,34%,43%,63,58,9%
Lowell,"300,000","288,000","215,500","190,000",4%,39%,58%,36,48,-25%
Lynn,"350,000","329,900","226,000","200,000",6%,55%,75%,39,38,3%
Lynnfield,"665,000","642,500","535,000","499,500",4%,24%,33%,52,52,0%
Malden,"492,000","455,000","310,000","290,000",8%,59%,70%,25,27,-7%
Manchester-by-the-Sea,"924,000","866,500","730,000","775,000",7%,27%,19%,116,123,-6%
